question,ground_truth,answer,ground_truth_present
"""Director James Cameron, collected the 'Oscar' for """"Best Director"""" in 1998, for which film?""",'TITANIC',Titanic.,No
'Cape Cod Salad' is an exotic summer dish centred,LOBSTER,Around lobster and mayonnaise.,Yes
"In 'Moh's Scale' of hardness, Talc is at number 1, but what is number 2?",GYPSUM,Gypsum is number 2.,Yes
Who wrote the music for 'Jerusalem'?,HUBERT PARRY,Charles Hubert Hastings Parry.,No
"What name is given to the lowest commissioned officer in a cavalry regiment, such as Prince Harry?",CORNET,Cornet.,Yes
What was the name of the eponymous 'Knight of the Holy Grail' in an opera by Wagner?,'PARSIFAL',Parsifal.,No
What sort of plant is 'Bladderwrack'?,SEAWEED,"Seaweed, brown marine algae.",Yes
"Which film about a submarine had as one of its stars Denzil Washington, whose character had violent disagreements with his Captain played by Gene Hackman?",'CRIMSON TIDE',Crimson Tide.,No
"Urs Buhler, Sebastian Izambard, Carlos Martin and David Millercomprise which singing group?",IL DIVO,Il Divo.,Yes
Who is currently fifth in line to the Throne?,PRINCESS BEATRICE,Prince Louis of Cambridge.,No
"Who was the first winner of 'I'm A Celebrity, Get Me Out Of Here'?",TONY BLACKBURN,"Tony Blackburn, 2002 winner.",Yes
What shape is something that is 'Cordiform'?,HEART-SHAPED,Heart-shaped.,Yes
What is the name of the Welsh television producer and writer who created 'Torchwood'?,RUSSELL T. DAVIES,Russell T Davies.,No
Who became the second Astronomer Royal upon the death of John Flamstead in 1619?,EDMOND HALLEY,"Edmond Halley did, in 1720, not 1619.",Yes
The animated televisionseries 'South Park' is set in the fictional town of 'South Park' in which American state?,COLORADO,Colorado.,Yes
"Which film, released in 2008, and starring Ryan Reynolds and Rachel Weisz, shares its title with an album released by 'Oasis' in 1994?","'DEFINITELY, MAYBE'","Definitely, Maybe",No
At which English footballstadium is the UEFA Cup final to be held next month (May 2008)?,CITY OF MANCHESTER STADIUM or EASTLANDS,Manchester's City of Stadium.,No
"Which British Prime Minister who came to office in 1894, took to riding around London in a carriage at night in an attempt to cure his lifelong insomnia?",EARL OF ROSEBERRY or ARCHIBALD PRIMROSE,"Archibald Primrose, 5th Earl of Rosebery.",No
William Milbourne Ames was the model for which painting of 1886?,'BUBBLES' or 'A CHILD'S WORLD',"""Arrangement in Grey and Black No. 1""",No
Name either of the two European countries that were invited to join NATO earlier this month (April 2008)?,ALBANIA or CROATIA,Croatia and Albania.,No
"Prior to Gordon Brown, who was the last British Prime Minister to represent a Scottish constituency?",ALEC DOUGLAS-HOME,"Arthur James Balfour, 1902-1905.",No
Give any year in the life of the painter Canaletto?,1839 - 1906,1760.,No
"Which 1993 film starring Tom Cruise, was about a young lawyer who eventually realised that the wealth of the Memphis law firm he worked for emanated from the Mafia?",'THE FIRM',The Firm.,No
Scone Castle shares its grounds with which racecourse?,PERTH,"Scone Palace, Perth Racecourse.",Yes
In which sport may a 'Mulligan' be awarded?,GOLF,Golf.,Yes
Which 2001 film starring Joseph Fiennes and Ed Harris is about two opposing snipers facing each other during the Battle of Stalingrad?,'ENEMY AT THE GATES',Enemy at the Gates.,No
Which actor and producer married Anne Bancroft?,MEL BROOKS,Mel Brooks married Anne Bancroft.,Yes
Pipistrellus is a genus of which mammal?,BAT,Bats.,Yes
Which word completes the name of the rock band 'Half Man Half...'?,'BISCUIT',Biscuit,No
"""Which 1968 book by Richard Hooker begins """"When Radar O'Reilly, just out of high school left Ottumwa, Iowa and enlisted in the United States Army...""""?""",'M.A.S.H.',MASH: A Novel About Three Army Doctors.,No
Which British daily newspaper is published in the Berliner format?,GUARDIAN,The Guardian is published in the Berliner format.,Yes
Which is the only mammal of the order Proboscidea?,ELEPHANT,Elephant.,Yes
Who according to the title of a 1992 novel was 'Count Lazzio de Almasy'?,'THE ENGLISH PATIENT',Almásy in 'The English Patient'.,Yes
Who composed both 'Merrie England' and 'Tom Jones'?,SIR EDWARD GERMAN,Edward German.,No
Which famous British actor is/was married to Anouk Aimee?,ALBERT FINNEY,Albert Finney was married to Anouk Aimée.,Yes
Who was Prime Minister of China from 1949 to 1976?,CHOU EN LAI,Zhou Enlai.,No
"What, traditionally, would a Cordwainer make?",SHOES,"Fine, handmade leather shoes.",Yes
"Who together with Vince Clarke, formed the pop duo 'Yazoo'?",ALISON MOYET,Alison Moyet.,Yes
Between 1959 and 1967 which city was the capital of Pakistan (Islamabad was being built)?,RAWALPINDI,"Rawalpindi and then Lahore, but mainly Rawalpindi and Karachi",Yes
"In a car, what can be an 'SU', a 'Weber', or a 'Zenith'?",CARBURETTOR,Carburetor.,No
What was the middle name of the character 'Albert Steptoe' from the t.v. series 'Steptoe and Son'?,'LADYSMITH',Edward.,No
The Liberal Democrats' 2011 Party Conference was held in which city?,BIRMINGHAM,Birmingham.,Yes
"Which 19th century British novelist, who worked as a Surveyor for the Post Office, was reputedly instrumental in the introduction of the pillar box in 1852?",ANTHONY TROLLOPE,Anthony Trollope.,Yes
The 'Yid Army' are/were a gang of football hooligans who supported which London club?,TOTTENHAM HOTSPUR,Tottenham Hotspur.,Yes
Which of the 'Spice Girls' advertised 'Milky Way' ob t.v.?,EMMA BUNTON (Baby Spice),Mel B (Melanie Brown).,No
Which language - originally a form of Anglo-Chinese jargon was used by traders and businessmen on the China coast?,PIDGIN ENGLISH,Pidgin English.,Yes
Who was hanged in 1962 for the murder of Michael Gregson?,JAMES HANRATTY,James Hanratty.,Yes
2004 is the 300th anniversary of Britain’s first victory on European soil since Agincourt when Marlborough defeated the French in which battle?,BLENHEIM,Blenheim.,Yes
In what US state is Mount Rushmore?,SOUTH DAKOTA,South Dakota.,Yes
In which capital city are the Tivoli gardens?,COPENHAGEN,"Copenhagen, Denmark.",Yes
In which Children's book does the character Wilbur the Pig appear?,Charlotte's Web,Charlotte's Web.,Yes
The Kalahari Desert lies chiefly in which country?,Botswana,Botswana.,Yes
In which county is Dunstanburgh Castle?,Northumberland,Northumberland.,Yes
"What was the forename of the composer of the 'Bolero', which featured in the film '10' starring Bo Derek and Dudley Moore?",MAURICE (Ravel),Maurice.,No
"What connects Ray Reardon, Geoff Capes and Christopher Dean?",ALL FORMER POLICEMEN,All BBC Sports Personality winners.,No
In which London Square will you find the Roosevelt Memorial?,GROSVENOR SQUARE,Grosvenor Square.,Yes
Which stretch of water lies between Iceland and Greenland?,DENMARK STRAIT,The Denmark Strait.,Yes
"Which fashion designer wrote the book, 'Men Without Ties'?",GIANNI VERSACE,Brunello Cucinelli.,No
"""Which Latin legal term means """"You should have the body""""?""",HABEUS CORPUS,Habeas Corpus.,No
Of what is Malocology the scientific study?,MOLLUSCS,"Mollusks, specifically shells and related organisms.",No
RAF Lakenheath is situated in which English county?,SUFFOLK,Suffolk.,Yes
The War of Bavarian Succession was fought between Austria and which other country?,PRUSSIA,Prussia.,Yes
"Who became the first BDO Women's World Darts Champion in 2001, winning her sixth world title in January 2006?",TRINA GULLIVER,Trina Gulliver.,Yes
Which group recorded the 1976 album 'Rastaman Vibration'?,BOB MARLEY & THE WAILERS,Bob Marley and the Wailers.,No
What is the general term for heat energy that has been drawnfrom under the ground?,GEOTHERMAL,Geothermal energy.,Yes
"With a 'Beaufort Scale' number of 8, and a wind speed of 39 - 46mph. How is this wind force described?",GALE,Gale force winds.,Yes
"Which battle, the first of the War Of The Roses, took placein 1455 and saw the Yorkists victorious over the Lancastrians?",ST. ALBAN'S (1st battle of..),The First Battle of St Albans.,No
"A 'Tope', also known as a 'Stupa', is a domed structure erected as a burial place in which religion?",BHUDDISM,Buddhism.,No
"Which hymn, based on Psalm 90, by Isaac Watts to a tune by William Croft, is particularly associated with Rememberance Sunday?",'OH GOD OUR HELP IN AGES PAST',"O God, our help in ages past.",No
"In 1337 which English king claimed the throne of France, precipitating the '100 Years War'?",EDWARD III,Edward III.,Yes
"According to the Bible, what was Eve made from?",ADAM'S RIB,Adam's rib.,Yes
What kind of bird can fly the highest?,VULTURE (Ruppel'sGriffon Vulture),Bar-headed goose flies the highest naturally.,No
"'Whole Lotta Love', 'Yellow Pearl', 'The Wizard', and 'Get Out Of That' have all been theme tunes to which television programme?",'TOP OF THE POPS',Top of the Pops.,No
"""Correct this quotation from FD Roosevelt.""""The only thing we have to fear is the enemy""""?""","""""""The only thing we have to fear is FEAR ITSELF""""""","""Fear itself.""",No
"In 1942, which town was destroyed by Nazis in reprisal for the assassination of Reinhard Heydrick?",LIDICE,Lidice.,Yes
Who was the last man to wim the Men's Singles Championship at Wimbledon prior to Roger Federer?,LLEYTON HEWITT,Pete Sampras.,No
The A2 connects London to which other town or city?,DOVER,Dover.,Yes
"""Which movie of 1980 used the tag-line """"They'll never get caught. They're on a mission from God""""?""",'THE BLUES BROTHERS',The Blues Brothers.,No
Who founded the 'Quakers' in the 17th century?,GEORGE FOX,George Fox founded the Quakers.,Yes
