question,ground_truth
Of which country is Yingluck Shinawatra the Prime Minister?,"Thailand, former Prime Minister."
"What is the name of 'Jim Hacker's' department in the TV comedy, 'Yes Minister'?",Department of Administrative Affairs.
"Having risen in Plynlimmon, which is the only English city through which the River Wye flows?",Hereford.
"""Which nation's record in the final of football's World Cup, reads """"played one - lost one""""?""",United States.
'Sir Leicester and Lady Dedlock' appear in which Charles Dickens novel?,Bleak House.
Which famous fishing town of east Scotland lies roughly half-way between Montrose and Dundee?,Arbroath.
"In 1964, who became the youngest winner of the Nobel Peace Prize?",Martin Luther King Jr.
With which common fish is Gooseberry sauce most often served?,Mackerel.
How many books are there in the New Testament of the Bible?,There are 27 books in the New Testament.
In which Irish county is the castle that contains the famous 'Blarney Stone'?,Cork.
Who was the Norse god of mischief?,Loki.
Give one of the three areas in which the Trades Union BECTUwas formed to represent?,"Electronics, also entertainment, and technology."
Who was Chancellor of the Exchequer in Clement Atlee's government from 1947 to 1950?,Sir Stafford Cripps.
"Who composed the music for the oratorio, 'Belshazzar's Feast'?",William Walton.
Which town was the birthplace of David Garrick?,"Lichfield, England"
From which country does 'Manchego' cheese come?,Spain.
"Which animated film, created by Dream Works Animations, is the highest-grossing film worldwide of 2009 so far? (May 2009)",Monsters vs Aliens.
"'Sanstorm', 'Walkaway' and 'Flying' were top ten hits for which group in the mid '90's?","Cast, but actually - Cast had 'Finetime', etc. 
Answer: Cast."
"To within ten years either way, in which year was author Jonathan Swift born?",1667.
"Which title, referring to an episode in the legendary history of early Rome, is shared by paintings by Poussin, Rubens and Picasso?",The Continence of Scipio.
"Which 2010 3D fantasy film, starring Sam Worthington and Liam Neeson, is loosely based on the Greek myth of 'Perseus'?",Clash of the Titans.
Which metal is created by the 'Bessemer Process'?,Steel.
'Spring' and 'Rhenish' are the popular names given to symphonies by which composer?,Robert Schumann.
Which British playwright wrote the screenplay for the 1998 film 'Shakespeare In Love'?,Marc Norman and Tom Stoppard.
"One of only two moons in our soar system larger than Mercury, which is the largest satellite of Saturn?",Titan.
The 'Vuvuzela' is traditionally made from the horn of which antelope?,Kudu antelope.
"Also containing Garlic and salt, what is the name of the Greek appetiser, the primary ingredients of which are yoghurt and cucumber?",Tzatziki.
"The daughter of the extravagant baronet 'Sir Walter Eliot', 'Anne Eliot is the central character in which of Jane Austen's novels?",Persuasion.
"""Who devised the science-fiction law that states """"Any sufficiently advanced technology is indistinguishable from magic""""?""",Arthur C. Clarke.
"The character 'James Bond' was created by Ian Fleming, but who wrote the book 'Zero Minus Ten' featuring 'James Bond'?",Raymond Benson.
"The Estonian, Arvo Part wrote a Cantus to mourn which English composer, who died in 1976?",Benjamin Britten.
What colour is the flower of the Celandine?,Bright yellow.
What was the middle name of the character 'Rodney Trotter' from the t.v. series 'Only Fools And Horses'?,Charlie.
Which Hollywood actor was married to Uma Thurman 1998 - 2004?,Ethan Hawke.
What type of ailment is 'Sycosis'?,A type of skin infection disease.
Approximately how long is a Mercury year (+ 1 day)?,88 Earth days plus 1 day.
Embakasi is the international airport of which African capital city?,"Nairobi, Kenya."
In which year was the Jarrow Crusade march to London?,The Jarrow Crusade was in 1936.
Which post was held by Dame Eliza Manningham-Buller from 2002 to 2007?,Director-General of MI5.
Cobra Beer originates in which Commonwealth country?,India.
What name is shared by the capital city of Newfoundland and the capital city of Antigua and Barbuda?,St. John's.
How is children's author Mary Pollock better known?,"As Joan Aiken's sister, or as Polly Faber."
Who was the scheming wife of the Roman emperor Claudius?,Agrippina the Younger.
"""What was the name of the Spencers' baby in the 1970's sitcom """"Some Mothers Do 'Ave 'Em""""?""",Jessica.
"The 1999 film, 'The Green Mile' was directed by whom?",Frank Darabont.
Who directed the 1975 film 'French Connection 2'?,John Frankenheimer directed French Connection II.
Which member of the 'Dirty Dozen' was also in 'The Magnificent Seven'?,Charles Bronson.
Which Scot was Glenn Hoddle's assistant in the 'England job'?,John Gorman
"In nature, what sort of bird is a 'Red Breasted Merganser'?",Diving duck with distinctive red head.
Who wrote the novel 'The Beach' on which the film was based?,Alex Garland wrote the novel 'The Beach'.
Who was the founder of the 'Mormon Church'?,Joseph Smith.
"Which colourless, poisonous gas, with a smell like Geraniums was used in chemical warfare during World War II?",Phosgene.
Which piece of athletics equipment has a wire 1.2 metres length?,Javelin.
What was Louise Rednap's maiden name?,"Nurding, Louise Nurding."
What was the name of the company that 'Reginald Perrin' worked for in 'The Fall and Rise of Reginald Perrin'?,Sunshine Desserts.
Football. In which decade of the 20th century did the white ball come into official use?,"1950s, the white ball was introduced."
Who played the part of 'The Penguin' in the TV series 'Batman'?,Burgess Meredith played the Penguin.
In which year was the Highway Code first published by the government?,1931.
"Which African country is bordered to the east by Chad, to the south by Nigeria and Benin, to west by Mali, and to the north by Algeria and Libya?",Niger.
Which Cricket broadcaster is famous for his observations of passing traffic?,"Bill Lawry, Australian cricket commentator."
"In the late 60's, Owen Finlay Maclaren pioneered what aid to mothers and young children?",The collapsible baby stroller.
What is the name of the tropical shrub from which the reddish dye is extracted to colourhair?,Henna.
Where is the administrative centre of Cumbria?,Carlisle.
What is the main ingredient of Hoysin Sauce?,Soybeans.
What holiday is particularly associated with Morris Dancing?,May Day.
"Daman Albarn, Graham Coxon,Alex James and Dave Rowntree form or formed which band?",Blur.
Whose first husband was a policeman called Jim Dougherty?,Marilyn Monroe.
What is the 'Pritzker Prize' awarded for?,Architecture excellence.
Which band released the album 'Kid' in 2000?,Prefab Sprout released the album 'Kid'.
"Mike Joyce, Johnny Marr, Stephen Morrisey and Andy Rourke were members of which pop group?",The Smiths.
The 'Scharnhorst' and the 'Prinz Eugen' defied the Royal Navy to sail the length of the English Channel when escaping from Breste in 1942. Which other German battlecruiser was involved in the escape?,Gneisenau.
"""What is the literal meaning of the French expression """"Son et Lumiere""""?""",Sound and Light.
The painting by Millais entitled 'Bubbles' was used for many years in an advertisement for which product?,"Soap, Pears soap."
Which 1987 black comedy starred Danny de Vito and Billy Crystal with an appearance by Oprah Winfrey as 'herself'?,Throw Momma from the Train.
"""Which Latin phrase, that translates literally as """"under the rose"""", means 'secretly' or 'in confidence'?""",Sub rosa.
"Which was the final battle of King Arthur, at which he was mortally wounded?","Camelot, also known as Camlann."
"Tommy Bolin, who died of a heroin overdose in 1976, was the lead guitarist with which group?",Deep Purple.
"Used when making tea, and deriving from the Russian for 'self brewer', what name is given to the heated metal container traditionally used to heat and boil water in Russia, Iran and Turkey?",Samovar.
Long Island Sound separates Long Island from which American state?,Connecticut.
"Sandra Bullock won this year's 'Oscar' for Best Actress for her role as 'Leigh Anne Tuohy', in which film?",The Blind Side.
What was the name of the American President played by Martin Sheen in the TV series 'The West Wing'?,Josiah Bartlet.
What is the capital of Taiwan?,Taipei.
If you order 'Gambas' in a Spanish restaurant what will you get?,Prawns.
Which company first sponsored the big wheel called 'The London Eye'?,"British Airways, then later BA was dropped."
Robert Walden Cassotto achieved fame under what name?,Bobby Darin.
Which motor manufacturer produces the 'Sharan' model?,Volkswagen.
What word is used in betting slang for odds of five to one (5/1)?,Five to one.
"With a surface area of 56km2, which Scottish loch is, in terms of surface area, the second largest inland body of water in Great Britain?",Loch Ness.
"Donald Neilson was a notorious figure in the 1970's, but how was he better known?",The Black Panther.
What type of animal is a 'Binturong'?,"Bears' cousin, also called bearcats."
Nouakchott is the capital of which Islamic African republic?,Mauritania.
